x	Average_LossRate	All_Max_LossRate	All_Min_LossRate	InitialStateU_Lizzie	InitialStateM_Lizzie	Lizzie_Conservative_LossRate	InitialStateU_Schmitz	InitialStateM_Schmitz	Schmitz_LossRate	Schmitz_Max_LossRate	Schmitz_Min_LossRate	InitialStateU_Becker	InitialStateM_Becker	Becker_LossRate	Becker_Max_LossRate	Becker_Min_LossRate	Line79_LossRate
333	7.11951447245565e-05	0.000196078431372549	0	118	15	0.000196078431372549	108	14	1.75070028011204e-05	7.00280112044818e-05	0	27	1	0	0	0	0
334	7.97541238717709e-05	0.00065359477124183	0	113	10	0	101	7	3.50140056022409e-05	0.000140056022408964	0	34	3	0.000204248366013072	0.00065359477124183	0	0
335	0.000151143790849673	0.000326797385620915	0	79	18	0.000326797385620915	94	12	0.000102124183006536	0.000163398692810458	0	41	5	2.45098039215686e-05	0.000196078431372549	0	0.000196078431372549
336	6.12745098039216e-05	0.000163398692810458	0	106	8	0	117	6	0.000122549019607843	0.000163398692810458	0	34	6	6.12745098039216e-05	0.000163398692810458	0	0.000326797385620915
337	2.72331154684096e-05	0.000217864923747277	0	105	12	0	94	9	8.16993464052288e-05	0.000217864923747277	0	35	5	0	0	0	0
338	2.59952465834819e-05	8.9126559714795e-05	0	102	5	0	90	11	4.45632798573975e-05	8.9126559714795e-05	0	21	11	3.34224598930481e-05	8.9126559714795e-05	0	0
339	1.92901234567901e-05	0.000122549019607843	0	117	17	0	108	9	2.72331154684096e-05	0.000108932461873638	0	44	8	3.06372549019608e-05	0.000122549019607843	0	0.000122549019607843
340	1.41839143064633e-05	0.000122549019607843	0	122	6	0	96	9	2.72331154684096e-05	0.000108932461873638	0	47	8	1.53186274509804e-05	0.000122549019607843	0	0
341	4.59558823529412e-05	0.000245098039215686	0	83	9	0	87	7	0	0	0	36	8	0.000137867647058824	0.000245098039215686	0	0.000122549019607843
342	0.000154320987654321	0.000245098039215686	0	103	12	0.000245098039215686	93	9	0.000136165577342048	0.000217864923747277	0.000108932461873638	43	6	8.16993464052288e-05	0.000163398692810458	0	0
343	4.35729847494553e-05	0.000163398692810458	0	99	14	0	95	10	4.90196078431373e-05	9.80392156862745e-05	0	31	6	8.16993464052288e-05	0.000163398692810458	0	0
344	2.85947712418301e-05	0.000196078431372549	0	105	10	0	96	8	6.12745098039216e-05	0.000122549019607843	0	32	5	2.45098039215686e-05	0.000196078431372549	0	0.000196078431372549
345	4.88737161531279e-05	0.000245098039215686	0	102	7	0	97	7	7.00280112044818e-05	0.000140056022408964	0	32	8	7.6593137254902e-05	0.000245098039215686	0	0
346	1.36165577342048e-05	0.000163398692810458	0	118	5	0	101	6	4.08496732026144e-05	0.000163398692810458	0	38	4	0	0	0	0
347	2.45098039215686e-05	9.80392156862745e-05	0	94	6	0	86	10	7.35294117647059e-05	9.80392156862745e-05	0	36	5	0	0	0	0
348	4.99273783587509e-05	0.000490196078431373	0	114	7	0	95	9	2.72331154684096e-05	0.000108932461873638	0	25	2	0.000122549019607843	0.000490196078431373	0	0
349	2.33426704014939e-05	0.000140056022408964	0	94	15	0	90	7	7.00280112044818e-05	0.000140056022408964	0	41	4	0	0	0	0
