x	Average_LossRate	All_Max_LossRate	All_Min_LossRate	InitialStateU_Lizzie	InitialStateM_Lizzie	Lizzie_Conservative_LossRate	InitialStateU_Schmitz	InitialStateM_Schmitz	Schmitz_LossRate	Schmitz_Max_LossRate	Schmitz_Min_LossRate	InitialStateU_Becker	InitialStateM_Becker	Becker_LossRate	Becker_Max_LossRate	Becker_Min_LossRate	Line79_LossRate
699	NA	NA	NA	1	3	0	1	0	NA	NA	NA	5	9	4.08496732026144e-05	0.000217864923747277	0	0
700	0	0	0	0	1	0	0	1	0	0	0	4	4	0	0	0	0.000245098039215686
701	0	0	0	0	3	0	0	2	0	0	0	7	9	0	0	0	0
702	2.04248366013072e-05	0.000122549019607843	0	1	3	0	2	2	0	0	0	6	8	6.12745098039216e-05	0.000122549019607843	0	0.000122549019607843
703	NA	NA	NA	0	0	NA	1	3	8.16993464052288e-05	0.000326797385620915	0	4	4	3.06372549019608e-05	0.000245098039215686	0	0
704	1.81554103122731e-05	0.000217864923747277	0	0	2	0	2	2	0	0	0	2	9	5.44662309368192e-05	0.000217864923747277	0	0
705	2.95025417574437e-05	0.000245098039215686	0	0	2	0	1	4	6.12745098039216e-05	0.000245098039215686	0	1	9	2.72331154684096e-05	0.000108932461873638	0	0.000108932461873638
706	2.04248366013072e-05	0.000163398692810458	0	2	3	0	0	2	0	0	0	5	6	6.12745098039216e-05	0.000163398692810458	0	0
707	1.1671335200747e-05	0.000140056022408964	0	2	1	0	1	2	0	0	0	1	7	3.50140056022409e-05	0.000140056022408964	0	0.000280112044817927
708	0	0	0	1	1	0	2	2	0	0	0	5	7	0	0	0	0
709	NA	NA	NA	0	1	0	0	0	NA	NA	NA	2	6	0	0	0	0
710	0	0	0	0	2	0	1	3	0	0	0	3	7	0	0	0	0
711	NA	NA	NA	0	0	NA	0	2	0	0	0	3	7	0.000157563025210084	0.000280112044817927	0	0
712	NA	NA	NA	1	0	NA	2	2	0	0	0	5	9	0	0	0	0
713	1.1671335200747e-05	0.000140056022408964	0	0	2	0	0	1	0	0	0	2	7	3.50140056022409e-05	0.000140056022408964	0	0
714	NA	NA	NA	0	0	NA	0	1	0	0	0	5	10	0	0	0	0
715	1.57114127702363e-05	0.000226244343891403	0	0	2	0	0	1	0	0	0	8	13	4.71342383107089e-05	0.000226244343891403	0	0.000150829562594268
716	NA	NA	NA	2	1	0	1	0	NA	NA	NA	3	11	3.34224598930481e-05	8.9126559714795e-05	0	8.9126559714795e-05
717	NA	NA	NA	1	0	NA	1	0	NA	NA	NA	1	5	7.35294117647059e-05	0.000196078431372549	0	0.000392156862745098
718	NA	NA	NA	0	1	0	1	0	NA	NA	NA	2	4	0	0	0	0.000490196078431373
719	NA	NA	NA	0	0	NA	1	0	NA	NA	NA	5	10	7.35294117647059e-05	0.000196078431372549	0	0.000196078431372549
720	1.02124183006536e-05	0.000122549019607843	0	0	1	0	0	2	0	0	0	1	8	3.06372549019608e-05	0.000122549019607843	0	0
721	0	0	0	1	2	0	1	1	0	0	0	5	7	0	0	0	0
