x	Average_LossRate	All_Max_LossRate	All_Min_LossRate	InitialStateU_Lizzie	InitialStateM_Lizzie	Lizzie_Conservative_LossRate	InitialStateU_Schmitz	InitialStateM_Schmitz	Schmitz_LossRate	Schmitz_Max_LossRate	Schmitz_Min_LossRate	InitialStateU_Becker	InitialStateM_Becker	Becker_LossRate	Becker_Max_LossRate	Becker_Min_LossRate	Line79_LossRate
277	1.81554103122731e-05	0.000108932461873638	0	416	11	0	454	9	5.44662309368192e-05	0.000108932461873638	0	169	5	0	0	0	0
278	3.08947108255067e-05	0.000140056022408964	0	430	9	0	486	17	5.76701268742791e-05	0.000115340253748558	0	176	7	3.50140056022409e-05	0.000140056022408964	0	0.000280112044817927
279	3.04103122730574e-05	0.000217864923747277	0	473	31	0	484	20	3.67647058823529e-05	4.90196078431373e-05	0	168	9	5.44662309368192e-05	0.000217864923747277	0	0.000108932461873638
280	6.66494668042656e-05	0.000420168067226891	0	456	10	0	517	19	7.73993808049536e-05	0.000103199174406605	5.15995872033024e-05	182	7	0.000122549019607843	0.000420168067226891	0	0.000280112044817927
281	0.000110988727474796	0.000226244343891403	0	447	19	0.000154798761609907	473	26	0.000141402714932127	0.000226244343891403	7.54147812971342e-05	170	10	3.67647058823529e-05	9.80392156862745e-05	0	0
282	3.96482122260669e-05	0.000210084033613445	0	430	16	0	497	17	5.76701268742791e-05	0.000115340253748558	0	157	14	6.12745098039216e-05	0.000210084033613445	0	0.000140056022408964
283	0.000118016235014505	0.000490196078431373	0	455	17	0.000173010380622837	481	22	8.9126559714795e-05	0.000133689839572193	4.45632798573975e-05	177	8	9.19117647058824e-05	0.000490196078431373	0	0
284	1.63398692810458e-05	0.000130718954248366	0	437	15	0	508	15	4.90196078431373e-05	0.000130718954248366	0	176	7	0	0	0	0
285	9.53159041394335e-05	0.000280112044817927	0	444	11	0	473	21	0.000128384687208217	0.000233426704014939	4.66853408029879e-05	165	7	0.000157563025210084	0.000280112044817927	0	0
286	7.73740868896578e-05	0.000173010380622837	0	429	15	0	498	17	0.000158592848904268	0.000173010380622837	0.000115340253748558	167	15	7.35294117647059e-05	0.000130718954248366	0	0.000130718954248366
287	4.27846577227382e-05	0.000257997936016512	0	421	20	0	504	19	0.00011609907120743	0.000257997936016512	0	158	10	1.22549019607843e-05	9.80392156862745e-05	0	0
288	6.68670245876128e-05	0.000186741363211951	0	468	13	0	518	21	9.33706816059757e-05	0.000186741363211951	4.66853408029879e-05	200	8	0.000107230392156863	0.000122549019607843	0	0.000122549019607843
289	2.22816399286988e-05	0.00017825311942959	0	440	20	0	483	9	0	0	0	159	11	6.68449197860963e-05	0.00017825311942959	0	0.00017825311942959
290	5.33448673587082e-05	0.000196078431372549	0	405	22	0	449	17	8.65051903114187e-05	0.000173010380622837	5.76701268742791e-05	192	15	7.35294117647059e-05	0.000196078431372549	0	6.5359477124183e-05
291	5.31045751633987e-05	0.000294117647058824	0	432	18	0	513	20	7.35294117647059e-05	0.000147058823529412	0	163	10	8.57843137254902e-05	0.000294117647058824	0	0
292	6.44517066085694e-05	0.000217864923747277	0	386	24	0	435	15	9.80392156862745e-05	0.000196078431372549	0	166	9	9.53159041394335e-05	0.000217864923747277	0	0
293	3.20961718020542e-05	0.000140056022408964	0	450	16	0	458	16	6.12745098039216e-05	0.000122549019607843	0	164	7	3.50140056022409e-05	0.000140056022408964	0	0
294	1.02124183006536e-05	0.000163398692810458	0	473	10	0	519	14	0	0	0	178	12	3.06372549019608e-05	0.000163398692810458	0	0
295	4.95147553971083e-05	0.000326797385620915	0	437	21	0	472	22	6.68449197860963e-05	8.9126559714795e-05	4.45632798573975e-05	155	6	8.16993464052288e-05	0.000326797385620915	0	0
296	2.89351851851852e-05	0.000122549019607843	0	432	24	0	464	24	7.14869281045752e-05	0.000122549019607843	4.08496732026144e-05	156	16	1.53186274509804e-05	0.000122549019607843	0	0
297	0.000161796744841728	0.000346020761245675	0	467	17	0.000346020761245675	502	17	5.76701268742791e-05	0.000173010380622837	0	179	9	8.16993464052288e-05	0.000217864923747277	0	0.000108932461873638
298	0.000153429427326486	0.000326797385620915	0	434	9	0.000326797385620915	487	14	8.75350140056022e-05	0.000210084033613445	0	167	8	4.59558823529412e-05	0.000122549019607843	0	0
299	4.21464882249196e-05	0.000108932461873638	0	425	18	0	463	21	5.83566760037348e-05	9.33706816059757e-05	0	156	9	6.8082788671024e-05	0.000108932461873638	0	0.000108932461873638
300	1.75070028011204e-05	0.000210084033613445	0	448	20	0	511	13	0	0	0	172	14	5.25210084033613e-05	0.000210084033613445	0	0.000140056022408964
